,source,author,title,description,url,urlToImage,publishedAt,content
31,BBC News,https://www.facebook.com/bbcnews,Tanzania President John Magufuli: The man who 'banned' coronavirus,President John Magufuli’s idiosyncratic handling of Covid-19 has put Tanzania in the global spotlight.,https://www.bbc.co.uk/news/world-africa-54603689,https://ichef.bbci.co.uk/news/1024/branded_news/9A67/production/_114972593_gettyimages-1228255389.jpg,2020-10-21T23:18:19Z,"By Basillioh MutahiBBC News, Nairobi
image copyrightGetty Images
Tanzania President John Magufuli's idiosyncratic handling of the coronavirus pandemic has put the country in the global spotlight. N… [+13280 chars]"
32,bbc-news,,Coronavirus: 'I just wish my parents were still here',Isaiah and Nathan's mother and father died from Covid-19 within two weeks of each other.,https://www.bbc.co.uk/news/av/world-us-canada-54621859,https://ichef.bbci.co.uk/images/ic/400xn/p08vvqkr.jpg,2020-10-20T22:21:23Z,"When Nathan and Isaiah first heard of Covid-19 in school, they never thought it would affect their family. But in July, the virus took both of their parents. 
Nine months since coronavirus arrived i… [+113 chars]"
33,BBC News,,Coronavirus: 'I just wish my parents were still here',Isaiah and Nathan's mother and father died from Covid-19 within two weeks of each other.,https://www.bbc.co.uk/news/av/world-us-canada-54621859,https://ichef.bbci.co.uk/images/ic/400xn/p08vvqkr.jpg,2020-10-20T22:21:23Z,"When Nathan and Isaiah first heard of Covid-19 in school, they never thought it would affect their family. But in July, the virus took both of their parents. 
Nine months since coronavirus arrived i… [+113 chars]"
34,bbc-news,https://www.facebook.com/bbcnews,Romanian mayor wins election two weeks after Covid-related death,"Ion Aliman secured 64% of votes in Deveselu, despite having died from coronavirus complications.",https://www.bbc.co.uk/news/world-europe-54318499,https://ichef.bbci.co.uk/news/1024/branded_news/107C7/production/_114672576_mediaitem114672572.jpg,2020-09-28T18:47:14Z,
35,BBC News,https://www.facebook.com/bbcnews,Romanian mayor wins election two weeks after Covid-related death,"Ion Aliman secured 64% of votes in Deveselu, despite having died from coronavirus complications.",https://www.bbc.co.uk/news/world-europe-54318499,https://ichef.bbci.co.uk/news/1024/branded_news/107C7/production/_114672576_mediaitem114672572.jpg,2020-09-28T18:47:14Z,
36,cnn,,King: Coronavirus numbers take a turn for the worse,CNN's John King breaks down the latest Covid-19 numbers which show that cases are rising.,https://www.cnn.com/videos/health/2020/09/27/coronavirus-cases-numbers-king-magic-wall-vpx-ip.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200927084619-john-king-inside-politics-coronavirus-magic-wall-9-27-2020-super-tease.jpg,2020-09-27T13:07:27Z,
37,CNN,,King: Coronavirus numbers take a turn for the worse,CNN's John King breaks down the latest Covid-19 numbers which show that cases are rising.,https://www.cnn.com/videos/health/2020/09/27/coronavirus-cases-numbers-king-magic-wall-vpx-ip.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200927084619-john-king-inside-politics-coronavirus-magic-wall-9-27-2020-super-tease.jpg,2020-09-27T13:07:27Z,
38,bbc-news,,Mercedes team member tests positive for Covid,A member of the Mercedes team tests positive for coronavirus ahead of this weekend’s Eifel Grand Prix.,https://www.bbc.co.uk/sport/formula1/54468026,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/FAF1/production/_114814246_mercedes.jpg,2020-10-08T13:54:48Z,"Mercedes have won the drivers' and constructors' titles in each of the past six Formula 1 seasons
A member of the Mercedes team has tested positive for coronavirus before this weekends Eifel Grand P… [+1256 chars]"
39,BBC News,,Mercedes team member tests positive for Covid,A member of the Mercedes team tests positive for coronavirus ahead of this weekend’s Eifel Grand Prix.,https://www.bbc.co.uk/sport/formula1/54468026,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/FAF1/production/_114814246_mercedes.jpg,2020-10-08T13:54:48Z,"Mercedes have won the drivers' and constructors' titles in each of the past six Formula 1 seasons
A member of the Mercedes team has tested positive for coronavirus before this weekends Eifel Grand P… [+1256 chars]"
40,bbc-news,https://www.facebook.com/bbcnews,Coronavirus: Dutch royals return amid anger over Covid holiday,"The family flew back from Greece after just a day on holiday there, amid intense criticism.",https://www.bbc.co.uk/news/world-europe-54548631,https://ichef.bbci.co.uk/news/1024/branded_news/16B07/production/_114953929_mediaitem114953928.jpg,2020-10-17T21:07:51Z,"image captionA vehicle carrying the royal family arrives back at Huis ten Bosch palace in The Hague
The Dutch royal family is back in the country after a holiday that lasted just one day, following … [+2443 chars]"
41,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Dutch royals return amid anger over Covid holiday,"The family flew back from Greece after just a day on holiday there, amid intense criticism.",https://www.bbc.co.uk/news/world-europe-54548631,https://ichef.bbci.co.uk/news/1024/branded_news/16B07/production/_114953929_mediaitem114953928.jpg,2020-10-17T21:07:51Z,"image captionA vehicle carrying the royal family arrives back at Huis ten Bosch palace in The Hague
The Dutch royal family is back in the country after a holiday that lasted just one day, following … [+2443 chars]"
42,bbc-news,,Coronavirus: 'I caught Covid at my uncle's funeral',A man in India who spread coronavirus after catching it at a funeral reflects on his decision to attend.,https://www.bbc.co.uk/news/av/world-54620048,https://ichef.bbci.co.uk/images/ic/400xn/p08vy5rz.jpg,2020-10-21T23:13:06Z,"Binu, a construction worker in the southern Indian state of Kerala, sorely regrets attending his uncle's funeral. He caught Covid-19 at the ceremony and spread it to at least another eight people.
D… [+382 chars]"
43,BBC News,,Coronavirus: 'I caught Covid at my uncle's funeral',A man in India who spread coronavirus after catching it at a funeral reflects on his decision to attend.,https://www.bbc.co.uk/news/av/world-54620048,https://ichef.bbci.co.uk/images/ic/400xn/p08vy5rz.jpg,2020-10-21T23:13:06Z,"Binu, a construction worker in the southern Indian state of Kerala, sorely regrets attending his uncle's funeral. He caught Covid-19 at the ceremony and spread it to at least another eight people.
D… [+382 chars]"
44,bbc-news,https://www.facebook.com/bbcnews,Coronavirus: Spain passes one million Covid-19 cases,Spain is the first western European country and the sixth in the world to pass the landmark figure.,https://www.bbc.co.uk/news/world-europe-54638347,https://ichef.bbci.co.uk/news/1024/branded_news/1074A/production/_115020476_tv063917776.jpg,2020-10-21T20:43:19Z,"image captionSpain is the sixth nation worldwide to record more than one million cases
Spain has recorded more than one million coronavirus cases, becoming the first western European country to pass… [+2662 chars]"
45,BBC News,https://www.facebook.com/bbcnews,Coronavirus: Spain passes one million Covid-19 cases,Spain is the first western European country and the sixth in the world to pass the landmark figure.,https://www.bbc.co.uk/news/world-europe-54638347,https://ichef.bbci.co.uk/news/1024/branded_news/1074A/production/_115020476_tv063917776.jpg,2020-10-21T20:43:19Z,"image captionSpain is the sixth nation worldwide to record more than one million cases
Spain has recorded more than one million coronavirus cases, becoming the first western European country to pass… [+2662 chars]"
46,bbc-news,,India coronavirus: The Covid doctor whose dance video went viral,He danced to cheer up his patients but little did he know that his video will reach millions.,https://www.bbc.co.uk/news/av/world-asia-india-54630863,https://ichef.bbci.co.uk/images/ic/400xn/p08vzxvs.jpg,2020-10-22T05:14:02Z,"Arup Senapati has been working as a Covid doctor in the northern-eastern India state of Assam for months.
He recently decided to dance on a popular Bollywood number to cheer up his patients. His vid… [+291 chars]"
47,BBC News,,India coronavirus: The Covid doctor whose dance video went viral,He danced to cheer up his patients but little did he know that his video will reach millions.,https://www.bbc.co.uk/news/av/world-asia-india-54630863,https://ichef.bbci.co.uk/images/ic/400xn/p08vzxvs.jpg,2020-10-22T05:14:02Z,"Arup Senapati has been working as a Covid doctor in the northern-eastern India state of Assam for months.
He recently decided to dance on a popular Bollywood number to cheer up his patients. His vid… [+291 chars]"
48,cnn,,These rescued dogs got stuck when Covid-19 hit,"Animal rescues around the world continue despite coronavirus travel restrictions, thanks to determined animal welfare advocates.",https://www.cnn.com/videos/travel/2020/10/13/animal-rescues-around-the-world-2020-travel-orig-ff.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201006112233-12-dog-rescue-photos-restricted-super-tease.jpg,2020-10-14T11:40:19Z,
49,CNN,,These rescued dogs got stuck when Covid-19 hit,"Animal rescues around the world continue despite coronavirus travel restrictions, thanks to determined animal welfare advocates.",https://www.cnn.com/videos/travel/2020/10/13/animal-rescues-around-the-world-2020-travel-orig-ff.cnn,https://cdn.cnn.com/cnnnext/dam/assets/201006112233-12-dog-rescue-photos-restricted-super-tease.jpg,2020-10-14T11:40:19Z,
